date,state,cases_new,deaths_new,beds,beds_covid,beds_icu_covid,cum_cases,cum_deaths
2020-01-01,Johor,,,,,,,
2020-01-01,Putrajaya,,,,,,,
2020-01-01,Labuan,,,,,,,
2020-01-01,Kuala Lumpur,,,,,,,
2020-01-01,Terengganu,,,,,,,
2020-01-01,Sarawak,,,,,,,
2020-01-01,Sabah,,,,,,,
2020-01-01,Penang,,,,,,,
2020-01-01,Selangor,,,,,,,
2020-01-01,Perak,,,,,,,
2020-01-01,Pahang,,,,,,,
2020-01-01,Negeri Sembilan,,,,,,,
2020-01-01,Malacca,,,,,,,
2020-01-01,Kelantan,,,,,,,
2020-01-01,Kedah,,,,,,,
2020-01-01,Perlis,,,,,,,
2020-01-02,Sabah,,,,,,,
2020-01-02,Putrajaya,,,,,,,
2020-01-02,Labuan,,,,,,,
2020-01-02,Kuala Lumpur,,,,,,,
2020-01-02,Terengganu,,,,,,,
2020-01-02,Selangor,,,,,,,
2020-01-02,Sarawak,,,,,,,
2020-01-02,Penang,,,,,,,
2020-01-02,Malacca,,,,,,,
2020-01-02,Perak,,,,,,,
2020-01-02,Pahang,,,,,,,
2020-01-02,Negeri Sembilan,,,,,,,
2020-01-02,Kelantan,,,,,,,
2020-01-02,Kedah,,,,,,,
2020-01-02,Johor,,,,,,,
2020-01-02,Perlis,,,,,,,
2020-01-03,Sabah,,,,,,,
2020-01-03,Putrajaya,,,,,,,
2020-01-03,Labuan,,,,,,,
2020-01-03,Kuala Lumpur,,,,,,,
2020-01-03,Terengganu,,,,,,,
2020-01-03,Sarawak,,,,,,,
2020-01-03,Penang,,,,,,,
2020-01-03,Selangor,,,,,,,
2020-01-03,Perak,,,,,,,
2020-01-03,Pahang,,,,,,,
2020-01-03,Negeri Sembilan,,,,,,,
2020-01-03,Perlis,,,,,,,
2020-01-03,Malacca,,,,,,,
2020-01-03,Kelantan,,,,,,,
2020-01-03,Kedah,,,,,,,
2020-01-03,Johor,,,,,,,
2020-01-04,Labuan,,,,,,,
2020-01-04,Kuala Lumpur,,,,,,,
2020-01-04,Terengganu,,,,,,,
2020-01-04,Selangor,,,,,,,
2020-01-04,Sarawak,,,,,,,
2020-01-04,Sabah,,,,,,,
2020-01-04,Penang,,,,,,,
2020-01-04,Putrajaya,,,,,,,
2020-01-04,Perak,,,,,,,
2020-01-04,Pahang,,,,,,,
2020-01-04,Negeri Sembilan,,,,,,,
2020-01-04,Malacca,,,,,,,
2020-01-04,Kelantan,,,,,,,
2020-01-04,Kedah,,,,,,,
2020-01-04,Johor,,,,,,,
2020-01-04,Perlis,,,,,,,
2020-01-05,Putrajaya,,,,,,,
2020-01-05,Labuan,,,,,,,
2020-01-05,Kuala Lumpur,,,,,,,
2020-01-05,Terengganu,,,,,,,
2020-01-05,Selangor,,,,,,,
2020-01-05,Sarawak,,,,,,,
2020-01-05,Sabah,,,,,,,
2020-01-05,Penang,,,,,,,
2020-01-05,Perlis,,,,,,,
2020-01-05,Pahang,,,,,,,
2020-01-05,Negeri Sembilan,,,,,,,
2020-01-05,Malacca,,,,,,,
2020-01-05,Kelantan,,,,,,,
2020-01-05,Kedah,,,,,,,
2020-01-05,Johor,,,,,,,
2020-01-05,Perak,,,,,,,
2020-01-06,Sabah,,,,,,,
2020-01-06,Putrajaya,,,,,,,
2020-01-06,Labuan,,,,,,,
2020-01-06,Kuala Lumpur,,,,,,,
2020-01-06,Terengganu,,,,,,,
2020-01-06,Selangor,,,,,,,
2020-01-06,Sarawak,,,,,,,
2020-01-06,Penang,,,,,,,
2020-01-06,Malacca,,,,,,,
2020-01-06,Perak,,,,,,,
2020-01-06,Pahang,,,,,,,
2020-01-06,Negeri Sembilan,,,,,,,
2020-01-06,Perlis,,,,,,,
2020-01-06,Kelantan,,,,,,,
2020-01-06,Kedah,,,,,,,
2020-01-06,Johor,,,,,,,
2020-01-07,Putrajaya,,,,,,,
2020-01-07,Labuan,,,,,,,
2020-01-07,Kuala Lumpur,,,,,,,
2020-01-07,Terengganu,,,,,,,
2020-01-07,Selangor,,,,,,,
2020-01-07,Sarawak,,,,,,,
2020-01-07,Sabah,,,,,,,
2020-01-07,Penang,,,,,,,
2020-01-07,Perak,,,,,,,
2020-01-07,Pahang,,,,,,,
2020-01-07,Negeri Sembilan,,,,,,,
2020-01-07,Malacca,,,,,,,
2020-01-07,Kelantan,,,,,,,
2020-01-07,Kedah,,,,,,,
2020-01-07,Johor,,,,,,,
2020-01-07,Perlis,,,,,,,
2020-01-08,Sabah,,,,,,,
2020-01-08,Putrajaya,,,,,,,
2020-01-08,Labuan,,,,,,,
2020-01-08,Kuala Lumpur,,,,,,,
2020-01-08,Terengganu,,,,,,,
2020-01-08,Selangor,,,,,,,
2020-01-08,Sarawak,,,,,,,
2020-01-08,Penang,,,,,,,
2020-01-08,Johor,,,,,,,
2020-01-08,Perak,,,,,,,
2020-01-08,Pahang,,,,,,,
2020-01-08,Negeri Sembilan,,,,,,,
2020-01-08,Malacca,,,,,,,
2020-01-08,Kelantan,,,,,,,
2020-01-08,Kedah,,,,,,,
2020-01-08,Perlis,,,,,,,
2020-01-09,Sabah,,,,,,,
2020-01-09,Putrajaya,,,,,,,
2020-01-09,Labuan,,,,,,,
2020-01-09,Kuala Lumpur,,,,,,,
2020-01-09,Terengganu,,,,,,,
2020-01-09,Selangor,,,,,,,
2020-01-09,Sarawak,,,,,,,
2020-01-09,Penang,,,,,,,
2020-01-09,Johor,,,,,,,
2020-01-09,Perak,,,,,,,
2020-01-09,Pahang,,,,,,,
2020-01-09,Negeri Sembilan,,,,,,,
2020-01-09,Malacca,,,,,,,
2020-01-09,Kelantan,,,,,,,
2020-01-09,Kedah,,,,,,,
2020-01-09,Perlis,,,,,,,
2020-01-10,Putrajaya,,,,,,,
2020-01-10,Labuan,,,,,,,
2020-01-10,Kuala Lumpur,,,,,,,
2020-01-10,Terengganu,,,,,,,
2020-01-10,Selangor,,,,,,,
2020-01-10,Sarawak,,,,,,,
2020-01-10,Sabah,,,,,,,
2020-01-10,Penang,,,,,,,
2020-01-10,Perak,,,,,,,
2020-01-10,Pahang,,,,,,,
2020-01-10,Negeri Sembilan,,,,,,,
2020-01-10,Malacca,,,,,,,
2020-01-10,Kelantan,,,,,,,
2020-01-10,Kedah,,,,,,,
2020-01-10,Johor,,,,,,,
2020-01-10,Perlis,,,,,,,
2020-01-11,Sabah,,,,,,,
2020-01-11,Putrajaya,,,,,,,
2020-01-11,Labuan,,,,,,,
2020-01-11,Kuala Lumpur,,,,,,,
2020-01-11,Terengganu,,,,,,,
2020-01-11,Selangor,,,,,,,
2020-01-11,Sarawak,,,,,,,
2020-01-11,Penang,,,,,,,
2020-01-11,Malacca,,,,,,,
2020-01-11,Perak,,,,,,,
2020-01-11,Johor,,,,,,,
2020-01-11,Kedah,,,,,,,
2020-01-11,Kelantan,,,,,,,
2020-01-11,Perlis,,,,,,,
2020-01-11,Negeri Sembilan,,,,,,,
2020-01-11,Pahang,,,,,,,
2020-01-12,Putrajaya,,,,,,,
2020-01-12,Labuan,,,,,,,
2020-01-12,Kuala Lumpur,,,,,,,
2020-01-12,Terengganu,,,,,,,
2020-01-12,Selangor,,,,,,,
2020-01-12,Sabah,,,,,,,
2020-01-12,Penang,,,,,,,
2020-01-12,Sarawak,,,,,,,
2020-01-12,Perak,,,,,,,
2020-01-12,Pahang,,,,,,,
2020-01-12,Negeri Sembilan,,,,,,,
2020-01-12,Malacca,,,,,,,
2020-01-12,Kelantan,,,,,,,
2020-01-12,Kedah,,,,,,,
2020-01-12,Johor,,,,,,,
2020-01-12,Perlis,,,,,,,
2020-01-13,Sabah,,,,,,,
2020-01-13,Putrajaya,,,,,,,
2020-01-13,Labuan,,,,,,,
2020-01-13,Kuala Lumpur,,,,,,,
2020-01-13,Terengganu,,,,,,,
2020-01-13,Selangor,,,,,,,
2020-01-13,Sarawak,,,,,,,
2020-01-13,Penang,,,,,,,
2020-01-13,Kelantan,,,,,,,
2020-01-13,Perak,,,,,,,
2020-01-13,Pahang,,,,,,,
2020-01-13,Negeri Sembilan,,,,,,,
2020-01-13,Malacca,,,,,,,
2020-01-13,Kedah,,,,,,,
2020-01-13,Johor,,,,,,,
